Source,Property,Property Value,Material,Operating Condition 1,Operating Condition 1 Value
10.1016/0926-860X(93)80138-G,C2(+) selectivity,100.0,"{'Ca', 'Co', 'Ba', 'O', 'Fe'}",reaction operating temperature,650.0
10.1016/j.molcata.2008.01.043,C2(+) selectivity,100.0,"{'La', 'Co', 'Sr', 'Fe', 'O'}",reaction operating temperature,880.0
10.1016/j.molcata.2008.01.043,C2(+) selectivity,100.0,"{'La', 'Co', 'Sr', 'Fe', 'O'}",reaction operating temperature,840.0
10.1016/j.molcata.2008.01.043,C2(+) selectivity,100.0,"{'La', 'Co', 'Sr', 'Fe', 'O'}",reaction operating temperature,880.0
10.1016/j.molcata.2008.01.043,C2(+) selectivity,100.0,"{'La', 'Co', 'Sr', 'Fe', 'O'}",reaction operating temperature,880.0
10.1039/D1CC04821J,C2(+) selectivity,98.1,"{'Mo', 'Sn'}",reaction operating temperature,650.0
10.1039/D1CC04821J,C2(+) selectivity,98.1,"{'Mo', 'Sn'}",reaction operating temperature,
10.1039/C39940001647,C2(+) selectivity,98.0,"{'Sr', 'Co', 'O'}",reaction operating temperature,750.0
10.1016/j.cej.2023.145372,C2(+) selectivity,98.0,"{'W', 'Li', 'Mn'}",reaction operating temperature,812.0
10.1016/s0167-2991(98)80449-7,C2(+) selectivity,95.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,820.0
10.1016/j.cej.2007.05.038,C2(+) selectivity,95.0,"{'Ca', 'Cl', 'O', 'Na'}",reaction operating temperature,825.0
10.1016/s0167-2991(98)80449-7,C2(+) selectivity,94.5,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,820.0
10.1016/s0167-2991(98)80449-7,C2(+) selectivity,94.5,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,820.0
10.1016/j.cej.2024.149368,C2(+) selectivity,94.3,"{'Mn', 'O', 'W', 'Ti', 'Na'}",reaction operating temperature,750.0
10.1016/S0926-860X(00)00877-2,C2(+) selectivity,94.0,"{'Y', 'O', 'Bi'}",reaction operating temperature,
10.1016/j.jgsce.2023.205057,C2(+) selectivity,93.0,"{'O', 'Sm'}",reaction operating temperature,
10.1016/S0166-9834(00)81395-0,C2(+) selectivity,93.0,"{'Mn', 'H', 'Cl', 'O', 'C'}",reaction operating temperature,
10.1016/0021-9517(86)90102-8,C2(+) selectivity,93.0,"{'O', 'Sm'}",reaction operating temperature,700.0
10.1016/j.apcatb.2011.11.037,C2(+) selectivity,92.0,"{'Li', 'Cl', 'O', 'Ni'}",reaction operating temperature,
10.1039/C39920001248,C2(+) selectivity,90.0,"{'K', 'Li', 'Pb', 'O', 'C'}",reaction operating temperature,
10.1016/j.apcatb.2018.02.040,C2(+) selectivity,90.0,"{'Gd', 'Ba', 'O', 'Ce'}",reaction operating temperature,
10.1039/C5CY01622C,C2(+) selectivity,90.0,"{'La', 'Li', 'Mg', 'Sr', 'Ga', 'O'}",reaction operating temperature,
10.1039/C5CY01622C,C2(+) selectivity,90.0,"{'La', 'Mg', 'Sr', 'Ga', 'O'}",reaction operating temperature,
10.1039/C5CY01622C,C2(+) selectivity,90.0,"{'La', 'Li', 'Mg', 'Sr', 'Ga', 'O'}",reaction operating temperature,
10.1039/C5CY01622C,C2(+) selectivity,90.0,"{'La', 'Mg', 'Sr', 'Ga', 'O'}",reaction operating temperature,
10.1039/C5CY01622C,C2(+) selectivity,90.0,"{'La', 'Li', 'Mg', 'Sr', 'Ga', 'O'}",reaction operating temperature,
10.1016/S0166-9834(00)80838-6,C2(+) selectivity,90.0,"{'Mg', 'Ca', 'Cl', 'O'}",reaction operating temperature,750.0
10.1016/j.apcatb.2018.02.040,C2(+) selectivity,90.0,"{'Gd', 'Ba', 'O', 'Ce'}",reaction operating temperature,
10.1016/S0167-2991(08)63215-2,C2(+) selectivity,90.0,"{'Ca', 'Co', 'Pb', 'O', 'Fe'}",reaction operating temperature,
10.1039/D3SE00292F,C2(+) selectivity,90.0,"{'K', 'La', 'O', 'Mn'}",reaction operating temperature,400.0
10.1016/S0167-2991(08)63215-2,C2(+) selectivity,90.0,"{'Pb', 'O', 'Y', 'Zr'}",reaction operating temperature,
10.1006/jcat.1998.2313,C2(+) selectivity,90.0,"{'Y', 'O', 'Bi'}",reaction operating temperature,
10.1016/j.cattod.2020.12.021,C2(+) selectivity,90.0,"{'Mg', 'Sr', 'O', 'Ti'}",reaction operating temperature,425.0
10.1016/S0926-860X(00)00517-2,C2(+) selectivity,89.5,"{'Te', 'Li', 'Sb', 'O'}",reaction operating temperature,750.0
10.1016/s0167-2991(98)80449-7,C2(+) selectivity,89.2,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,850.0
10.1016/S0920-5861(00)00389-8,C2(+) selectivity,89.0,"{'Li', 'Ni', 'O', 'Sm'}",reaction operating temperature,
10.1039/D3SE00292F,C2(+) selectivity,88.71,"{'K', 'La', 'O', 'Mn'}",reaction operating temperature,
10.1039/D3SE00292F,C2(+) selectivity,88.71,"{'K', 'La', 'O', 'Mn'}",reaction operating temperature,
10.1016/S0926-860X(00)00517-2,C2(+) selectivity,88.0,"{'Te', 'Li', 'Sb', 'O'}",reaction operating temperature,750.0
10.1016/S0926-860X(00)00517-2,C2(+) selectivity,88.0,"{'Li', 'Sb', 'Te'}",reaction operating temperature,750.0
10.1016/0926-860X(94)00245-2,C2(+) selectivity,88.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,800.0
10.1016/j.cej.2023.145372,C2(+) selectivity,87.3,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,675.0
10.1016/j.cej.2023.145372,C2(+) selectivity,87.3,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,675.0
10.1016/j.cej.2023.145372,C2(+) selectivity,87.3,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,675.0
10.1016/j.cej.2023.145372,C2(+) selectivity,87.3,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,675.0
10.1016/S0376-7388(98)00182-3,C2(+) selectivity,87.0,"{'La', 'Co', 'Sr', 'Fe', 'O'}",reaction operating temperature,900.0
10.1016/j.cej.2007.05.038,C2(+) selectivity,87.0,"{'Ca', 'Cl', 'O', 'Na'}",reaction operating temperature,700.0
10.1016/j.cej.2024.149368,C2(+) selectivity,86.5,"{'Mn', 'O', 'W', 'Ti', 'Na'}",reaction operating temperature,750.0
10.1016/j.apcata.2010.03.015,C2(+) selectivity,86.0,"{'La', 'Si', 'Ag', 'O'}",reaction operating temperature,
10.1016/S0926-860X(02)00432-5,C2(+) selectivity,86.0,"{'K', 'W', 'O'}",reaction operating temperature,
10.1016/S0926-860X(02)00432-5,C2(+) selectivity,86.0,"{'K', 'W', 'O'}",reaction operating temperature,
10.1016/0926-860X(94)85109-3,C2(+) selectivity,85.0,"{'Zr', 'Mg', 'Cl', 'Ba', 'O'}",reaction operating temperature,
10.1016/j.apcata.2012.05.002,C2(+) selectivity,85.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.jcat.2016.06.014,C2(+) selectivity,85.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/0926-860X(94)85109-3,C2(+) selectivity,85.0,"{'Ba', 'Al'}",reaction operating temperature,
10.1016/0926-860X(94)85109-3,C2(+) selectivity,85.0,"{'Mg', 'Ba', 'O', 'Na'}",reaction operating temperature,
10.1016/j.apcata.2010.03.015,C2(+) selectivity,85.0,"{'La', 'Si', 'Ag', 'O'}",reaction operating temperature,
10.1016/j.apcata.2010.03.015,C2(+) selectivity,85.0,"{'La', 'Si', 'Ag', 'O'}",reaction operating temperature,750.0
10.1016/j.mcat.2022.112157,C2(+) selectivity,85.0,"{'Mg', 'La', 'Li', 'Ce'}",reaction operating temperature,
10.1016/j.apcata.2010.03.015,C2(+) selectivity,85.0,"{'La', 'Si', 'Ag', 'O'}",reaction operating temperature,
10.1016/j.apcata.2010.03.015,C2(+) selectivity,85.0,"{'La', 'Si', 'O'}",reaction operating temperature,750.0
10.1016/0926-860X(94)85109-3,C2(+) selectivity,85.0,"{'Ba', 'Al'}",reaction operating temperature,
10.1016/0926-860X(94)85109-3,C2(+) selectivity,85.0,"{'Mg', 'Li', 'Ba', 'O'}",reaction operating temperature,
10.1016/0926-860X(94)85109-3,C2(+) selectivity,85.0,"{'Mg', 'Sr'}",reaction operating temperature,
10.1039/D1CC04821J,C2(+) selectivity,85.0,"{'Mo', 'Sn'}",reaction operating temperature,
10.1039/D1CC04821J,C2(+) selectivity,85.0,"{'Mo', 'Sn'}",reaction operating temperature,
10.1016/j.apcata.2014.07.024,C2(+) selectivity,85.0,"{'Mg', 'Sr', 'O', 'Ti'}",reaction operating temperature,850.0
10.1016/j.fuproc.2022.107320,C2(+) selectivity,85.0,"{'Mn', 'O', 'W', 'Si', 'Ti', 'Na'}",reaction operating temperature,
10.1016/0926-860X(94)85109-3,C2(+) selectivity,85.0,"{'Mg', 'Ba'}",reaction operating temperature,
10.1016/S0167-2991(08)63880-X,C2(+) selectivity,85.0,"{'Pb', 'O'}",reaction operating temperature,
10.1016/0926-860X(94)85109-3,C2(+) selectivity,85.0,"{'Ba', 'Al'}",reaction operating temperature,
10.1016/0926-860X(95)00116-6,C2(+) selectivity,84.55,"{'La', 'F', 'Ba', 'O'}",reaction operating temperature,770.0
10.1016/0926-860X(95)00116-6,C2(+) selectivity,84.55,"{'La', 'F', 'Ba', 'O'}",reaction operating temperature,770.0
10.1016/S0920-5861(99)00019-X,C2(+) selectivity,84.5,"{'La', 'F', 'Ba', 'O'}",reaction operating temperature,770.0
10.1016/0009-2509(96)00179-0,C2(+) selectivity,84.0,"{'Y', 'O', 'Ba', 'Zr'}",reaction operating temperature,
10.1016/j.mcat.2022.112157,C2(+) selectivity,84.0,"{'Mg', 'La', 'Li', 'Ce'}",reaction operating temperature,800.0
10.1016/j.cattod.2004.09.014,C2(+) selectivity,83.6,"{'O', 'Ce', 'Zn'}",reaction operating temperature,
10.1016/s0167-2991(06)81571-5,C2(+) selectivity,83.6,"{'O', 'Ce', 'Zn'}",reaction operating temperature,825.0
10.1016/S0166-9834(00)82205-8,C2(+) selectivity,83.0,"{'Mg', 'Li', 'Si', 'O'}",reaction operating temperature,
10.1016/j.apcatb.2021.120948,C2(+) selectivity,83.0,"{'Mn', 'Fe', 'O', 'W', 'Na'}",reaction operating temperature,780.0
