Source,Property,Property Value,Material,Operating Condition 1,Operating Condition 1 Value
10.1016/j.cej.2017.07.002,CH4 conversion,100.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,700.0
10.1016/j.fuproc.2022.107352,CH4 conversion,100.0,"{'Mn', 'Mg', 'O', 'W', 'Na'}",reaction operating temperature,900.0
10.1016/S0920-5861(00)00389-8,CH4 conversion,99.0,"{'Ni', 'O', 'Sm'}",reaction operating temperature,650.0
10.1016/S0376-7388(00)00591-3,CH4 conversion,98.5,"{'Al', 'La', 'Li', 'Ni', 'O'}",reaction operating temperature,
10.1016/S0376-7388(00)00591-3,CH4 conversion,97.5,"{'Co', 'Sr', 'Ba', 'O', 'Fe'}",reaction operating temperature,875.0
10.1016/s0167-2991(96)80249-7,CH4 conversion,97.0,{'Ag'},reaction operating temperature,
10.1016/s0167-2991(96)80249-7,CH4 conversion,97.0,"{'Ag', 'Sm', 'O'}",reaction operating temperature,
10.1016/S0167-2991(08)64267-6,CH4 conversion,96.2,"{'La', 'Mg', 'Sr', 'Fe', 'O'}",reaction operating temperature,800.0
10.1016/S0167-2991(08)64267-6,CH4 conversion,95.3,"{'La', 'Ni', 'O'}",reaction operating temperature,800.0
10.1016/S0167-2991(08)64267-6,CH4 conversion,95.3,"{'La', 'Sr', 'Fe', 'O', 'Zn'}",reaction operating temperature,800.0
10.1016/S0167-2991(08)64267-6,CH4 conversion,95.2,"{'La', 'O', 'Cu'}",reaction operating temperature,800.0
10.1016/S0167-2991(08)64267-6,CH4 conversion,95.2,"{'La', 'Sr', 'Fe', 'O'}",reaction operating temperature,800.0
10.1016/S0167-2991(08)64267-6,CH4 conversion,95.0,"{'La', 'Li', 'O', 'Cu'}",reaction operating temperature,800.0
10.1016/S0167-2991(08)64267-6,CH4 conversion,94.2,"{'La', 'Li', 'Ni', 'O'}",reaction operating temperature,800.0
10.1016/S0167-2991(08)64267-6,CH4 conversion,94.1,"{'La', 'Li', 'Sr', 'Fe', 'O'}",reaction operating temperature,800.0
10.1016/j.cej.2005.12.002,CH4 conversion,94.0,"{'Mg', 'Li', 'O'}",reaction operating temperature,
10.1016/j.cej.2024.148719,CH4 conversion,94.0,{'Pt'},reaction operating temperature,
10.1016/j.cej.2024.148719,CH4 conversion,90.0,{'Pt'},reaction operating temperature,
10.1016/S0167-2991(08)64267-6,CH4 conversion,89.7,"{'La', 'Li', 'Ba', 'O', 'Fe'}",reaction operating temperature,800.0
10.1016/S0167-2991(08)64267-6,CH4 conversion,88.0,"{'Ca', 'La', 'Li', 'Fe', 'O'}",reaction operating temperature,800.0
10.1016/j.ijhydene.2023.05.114,CH4 conversion,85.8,"{'Mo', 'Sr', 'Fe', 'O'}",reaction operating temperature,800.0
10.1016/j.ijhydene.2023.05.114,CH4 conversion,85.8,"{'Mo', 'Sr', 'Fe', 'O'}",reaction operating temperature,800.0
10.1016/j.joei.2022.10.002,CH4 conversion,84.3,"{'Ca', 'O', 'Mn'}",reaction operating temperature,
10.1016/j.joei.2022.10.002,CH4 conversion,84.3,"{'Ca', 'O', 'Mn'}",reaction operating temperature,
10.1016/S0920-5861(02)00030-5,CH4 conversion,81.0,"{'Si', 'Co', 'O', 'Al'}",reaction operating temperature,
10.1016/s0167-2991(98)80464-3,CH4 conversion,80.0,{'Rh'},reaction operating temperature,
10.1016/S0920-5861(02)00030-5,CH4 conversion,78.1,"{'Si', 'Co', 'O', 'Al'}",reaction operating temperature,
10.1016/s0167-2991(96)80249-7,CH4 conversion,76.0,"{'La', 'Sr', 'O'}",reaction operating temperature,
10.1016/j.cej.2024.149368,CH4 conversion,76.0,"{'O', 'Mn'}",reaction operating temperature,
10.1016/0009-2509(96)00179-0,CH4 conversion,75.0,"{'Y', 'O', 'Ba', 'Zr'}",reaction operating temperature,
10.1016/j.cattod.2020.06.084,CH4 conversion,73.0,"{'La', 'Sr', 'O'}",reaction operating temperature,
10.1016/0926-3373(94)00021-2,CH4 conversion,70.2,"{'La', 'O'}",reaction operating temperature,700.0
10.1016/0926-3373(94)00021-2,CH4 conversion,70.0,"{'La', 'O'}",reaction operating temperature,650.0
10.1016/0926-3373(94)00021-2,CH4 conversion,67.0,"{'La', 'N', 'O'}",reaction operating temperature,700.0
10.1016/S0926-860X(97)00348-7,CH4 conversion,67.0,"{'Mg', 'Ba', 'O', 'C'}",reaction operating temperature,
10.1039/C6CY01879C,CH4 conversion,66.0,"{'Co', 'Sr', 'Ba', 'Cl', 'O', 'Fe'}",reaction operating temperature,
10.1016/S0920-5861(00)00389-8,CH4 conversion,63.0,"{'Ni', 'O', 'Sm'}",reaction operating temperature,650.0
10.1016/S0920-5861(00)00389-8,CH4 conversion,63.0,"{'Ni', 'O', 'Sm'}",reaction operating temperature,650.0
10.1016/S0920-5861(00)00389-8,CH4 conversion,63.0,"{'Ni', 'O', 'Sm'}",reaction operating temperature,650.0
10.1016/S0926-860X(02)00602-6,CH4 conversion,62.0,"{'Mg', 'Li', 'O'}",reaction operating temperature,
10.1016/s0167-2991(98)80464-3,CH4 conversion,62.0,{'Pt'},reaction operating temperature,
10.1016/j.physo.2024.100219,CH4 conversion,60.7,"{'Mn', 'O', 'Ce', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.catcom.2017.03.010,CH4 conversion,60.7,"{'Mn', 'O', 'Ce', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.catcom.2017.03.010,CH4 conversion,60.7,"{'Mn', 'O', 'Ce', 'W', 'Si', 'Na'}",reaction operating temperature,800.0
10.1016/j.apcata.2010.03.046,CH4 conversion,60.0,"{'Rh', 'Pt'}",reaction operating temperature,900.0
10.1016/j.memsci.2015.04.027,CH4 conversion,57.0,"{'La', 'Y', 'Co', 'Bi', 'Sr', 'Fe', 'O', 'Sm'}",reaction operating temperature,900.0
10.1016/j.cattod.2013.11.059,CH4 conversion,55.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/S0920-5861(02)00030-5,CH4 conversion,55.0,"{'Si', 'Co', 'O', 'Al'}",reaction operating temperature,300.0
10.1016/S0920-5861(02)00030-5,CH4 conversion,54.9,"{'Si', 'Co', 'O', 'Al'}",reaction operating temperature,300.0
10.1016/S0920-5861(02)00030-5,CH4 conversion,54.9,"{'Si', 'Co', 'O', 'Al'}",reaction operating temperature,
10.1016/j.jiec.2012.04.011,CH4 conversion,54.7,"{'La', 'Mn', 'Sr', 'O', 'Au'}",reaction operating temperature,
10.1016/0926-860X(94)80358-7,CH4 conversion,50.7,"{'Cl', 'Pb', 'O', 'Ti', 'Na'}",reaction operating temperature,750.0
10.1016/j.inoche.2018.12.028,CH4 conversion,50.1,"{'O', 'Ce', 'W', 'Ti', 'Na'}",reaction operating temperature,800.0
10.1016/j.memsci.2007.06.033,CH4 conversion,50.0,"{'Sr', 'Li', 'O', 'Ti'}",reaction operating temperature,925.0
10.1016/j.jiec.2017.10.027,CH4 conversion,50.0,"{'La', 'Co', 'Sr', 'Fe', 'O'}",reaction operating temperature,
10.1016/S0920-5861(00)00389-8,CH4 conversion,50.0,"{'Ni', 'O', 'Sm'}",reaction operating temperature,650.0
10.1016/j.ijhydene.2023.05.114,CH4 conversion,50.0,"{'Mo', 'Sr', 'Fe', 'O'}",reaction operating temperature,750.0
10.1039/C6CY01879C,CH4 conversion,50.0,{'Hg'},reaction operating temperature,180.0
10.1039/D3RE00055A,CH4 conversion,48.8,"{'K', 'Al', 'Co', 'Ni', 'O'}",reaction operating temperature,
10.1016/j.cej.2024.149368,CH4 conversion,48.6,"{'W', 'O', 'Mn', 'Na'}",reaction operating temperature,800.0
10.1016/j.apcatb.2021.120161,CH4 conversion,48.5,"{'N', 'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,800.0
10.1016/j.apcatb.2021.120161,CH4 conversion,48.5,"{'N', 'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,800.0
10.1016/j.jcat.2021.06.027,CH4 conversion,48.0,"{'Si', 'O', 'Fe'}",reaction operating temperature,1090.0
10.1016/j.apcatb.2021.120161,CH4 conversion,48.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,800.0
10.1016/j.apcatb.2021.120161,CH4 conversion,48.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,800.0
10.1016/j.cej.2007.05.038,CH4 conversion,48.0,"{'Ca', 'Cl', 'O', 'Na'}",reaction operating temperature,850.0
10.1016/S1003-9953(11)60402-7,CH4 conversion,48.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1039/C6CY01879C,CH4 conversion,48.0,"{'Si', 'O', 'Fe'}",reaction operating temperature,1090.0
10.1016/j.apcatb.2021.120161,CH4 conversion,47.8,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,800.0
10.1016/S0021-9517(03)00248-3,CH4 conversion,47.2,"{'Sn', 'Mn', 'O', 'Ce', 'W', 'Si', 'Na'}",reaction operating temperature,710.0
10.1016/j.cej.2022.141057,CH4 conversion,47.2,"{'Al', 'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.cej.2022.141057,CH4 conversion,47.2,"{'Al', 'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/j.inoche.2018.12.028,CH4 conversion,47.2,"{'Mn', 'O', 'Ce', 'W', 'Si', 'Na'}",reaction operating temperature,710.0
