"{'Ca', 'Co', 'La', 'Sr', 'Fe', 'Ba'}",1
"{'Gd', 'H', 'Ba'}",1
"{'Ca', 'Nd', 'Y'}",1
"{'La', 'Sr'}",25
"{'Ca', 'Mg', 'Sm'}",1
"{'Fe', 'F', 'H'}",1
"{'Ce', 'K'}",1
"{'Sr', 'Yb', 'Ga'}",1
"{'Sr', 'Ti', 'Co'}",1
"{'La', 'Ce'}",12
"{'Ca', 'La', 'Ce'}",2
"{'Sr', 'C', 'H', 'Al'}",1
"{'C', 'K'}",2
"{'Ca', 'Li', 'H'}",1
"{'Mg', 'Na', 'Sm'}",1
"{'Ca', 'Fe', 'Pb', 'Co'}",1
"{'La', 'C', 'N'}",1
"{'Ca', 'Ba', 'Al'}",1
"{'W', 'Zr', 'Li', 'C', 'Ce', 'Eu'}",1
"{'La', 'Mg'}",6
"{'Nd', 'Sr', 'Ba', 'La'}",1
"{'Ti', 'Ba'}",2
"{'Au', 'Si'}",1
{'Zr'},5
"{'Mg', 'Na', 'Pr'}",1
"{'Ca', 'Sr', 'Ti', 'Ba'}",1
{'Nd'},3
"{'La', 'Mg', 'Ce'}",2
"{'Ca', 'Si', 'Ba'}",1
"{'Sr', 'Mn', 'Ti'}",1
"{'Y', 'Ba'}",1
"{'C', 'Ce'}",1
"{'Sr', 'C'}",1
"{'La', 'Li', 'Ba'}",1
"{'Y', 'Zr', 'Pt'}",1
"{'W', 'Na', 'K', 'C', 'Mn'}",1
"{'W', 'Na', 'Zr', 'Cl', 'Ce', 'Mn'}",1
"{'Sr', 'Fe', 'Co', 'La'}",12
"{'Sr', 'Ti', 'Sm'}",1
"{'Sb', 'Ni', 'Te'}",1
"{'Ce', 'Sm'}",2
"{'Sr', 'Ti', 'Tl'}",1
"{'Zr', 'Cl', 'Mg', 'Ba'}",1
"{'Ca', 'Nb'}",1
"{'Ca', 'Mg', 'Cl'}",1
"{'Ba', 'Al'}",1
{'Cs'},1
"{'Mn', 'W', 'Na', 'Zn'}",1
{'Pr'},3
{'Li'},3
"{'Ta', 'K'}",1
"{'W', 'Ce', 'Na'}",2
"{'La', 'Zr', 'Sr'}",1
"{'Sr', 'H', 'Al'}",1
"{'La', 'Eu'}",1
"{'Zr', 'Li'}",1
"{'Ca', 'La', 'Ba', 'Y'}",1
"{'La', 'Ba'}",5
"{'Al', 'Mg', 'Li', 'Mo'}",1
"{'Ca', 'Cl', 'Na'}",2
"{'Ti', 'Mg'}",1
"{'Sr', 'Ti', 'Mg', 'Al'}",1
"{'Ca', 'H', 'K'}",1
