Source,Property,Property Value,Material,Operating Condition 1,Operating Condition 1 Value
10.1016/S0926-860X(02)00602-6,C2(+) yield,66.0,"{'Ca', 'O', 'Na'}",reaction operating temperature,
10.1016/0009-2509(96)00179-0,C2(+) yield,55.0,"{'Y', 'O', 'Ba', 'Zr'}",reaction operating temperature,
10.1016/S0926-860X(02)00602-6,C2(+) yield,53.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/S0009-2509(05)80048-X,C2(+) yield,50.0,"{'O', 'Sm'}",reaction operating temperature,
10.1016/S0926-860X(02)00602-6,C2(+) yield,50.0,"{'O', 'Sm'}",reaction operating temperature,
10.1016/S0920-5861(02)00030-5,C2(+) yield,45.0,"{'Si', 'Co', 'O', 'Al'}",reaction operating temperature,300.0
10.1006/jcat.1996.0141,C2(+) yield,44.0,"{'Mg', 'Li', 'O', 'Sn'}",reaction operating temperature,750.0
10.1016/j.memsci.2015.04.027,C2(+) yield,39.0,"{'Y', 'O', 'Sm', 'Bi'}",reaction operating temperature,900.0
10.1016/j.jiec.2017.10.027,C2(+) yield,39.0,"{'La', 'Co', 'Sr', 'Fe', 'O'}",reaction operating temperature,
10.1016/j.memsci.2015.04.027,C2(+) yield,39.0,"{'La', 'Y', 'Co', 'Bi', 'Sr', 'Fe', 'O', 'Sm'}",reaction operating temperature,900.0
10.1016/j.memsci.2015.04.027,C2(+) yield,39.0,"{'Y', 'O', 'Sm', 'Bi'}",reaction operating temperature,900.0
10.1016/j.memsci.2022.120915,C2(+) yield,39.0,"{'La', 'Y', 'Co', 'Bi', 'Sr', 'Fe', 'O', 'Sm'}",reaction operating temperature,900.0
10.1039/D1CY02206G,C2(+) yield,37.0,"{'Ga', 'Ba'}",reaction operating temperature,
10.1016/s0167-2991(98)80453-9,C2(+) yield,35.5,"{'Zr', 'Mn', 'Cl', 'O', 'W', 'Na'}",reaction operating temperature,
10.1016/s0167-2991(98)80453-9,C2(+) yield,35.5,"{'Zr', 'Cl', 'O', 'Ce', 'W', 'Na'}",reaction operating temperature,
10.1016/j.cattod.2005.03.079,C2(+) yield,35.0,"{'Y', 'O', 'Sm', 'Bi'}",reaction operating temperature,900.0
10.1039/D0CP02144J,C2(+) yield,35.0,"{'Mn', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1016/S0920-5861(03)00240-2,C2(+) yield,35.0,"{'Y', 'O', 'Sm', 'Bi'}",reaction operating temperature,900.0
10.1016/j.psep.2021.02.030,C2(+) yield,34.6,"{'Mn', 'Cl', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
10.1039/C6CY01879C,C2(+) yield,33.7,"{'Mn', 'Cl', 'O', 'W', 'Si', 'Na'}",reaction operating temperature,
