Element,Change,Standard Error,# Examples
H,-26.36666666666667,7.475874778492728,6
Li,22.39093814699793,3.429807386879809,23
C,-3.597468365899873,5.445497965202302,16
N,-3.2601838235294167,11.411019653881713,4
O,5.255853174603175,4.339619592425648,28
Na,22.88621754720407,4.694010513056797,18
Mg,8.455917658730158,4.242522445580448,24
Al,2.116106840729602,5.968262986876801,13
Si,6.096418168716763,3.6672724681978512,18
P,-5.647916666666667,12.477317049558705,4
S,-4.7576875,8.454402970476163,10
Cl,5.458165266106442,4.079306289950705,15
K,24.52977430555556,6.118074614392961,12
Ca,8.63047123015873,3.882315062831138,18
Ti,-3.5073357941455576,4.7397902206031866,16
V,-38.78888888888889,0.0,1
Cr,-6.600000000000001,0.0,1
Mn,-2.188837918984019,6.912778019112286,15
Fe,10.060494505494503,12.951510477086142,4
Co,22.009230769230765,11.212284508464402,3
Ni,14.079365079365077,10.735013736472562,7
Cu,-39.724166666666676,0.0,1
Zn,17.225090939153436,10.93746465340314,6
Ge,4.516764705882352,0.0,1
Br,28.599999999999994,0.0,1
Sr,7.833991228070174,5.025624079642761,19
Y,10.199999999999998,12.369137219529726,3
Zr,-12.802751322751325,10.763460499175212,9
Nb,-14.415,18.30345903101378,2
Mo,34.05,0.0,1
Ag,10.883333333333333,6.446456821817359,2
Cd,0.1655505952380949,2.9874735384014692,2
Sn,2.472025268440708,6.541435935263452,6
Sb,28.625,8.927223112480162,2
Te,2.25,0.0,1
I,-59.0,0.0,1
Cs,-14.541666666666666,6.08799288825204,3
Ba,18.269877334267044,5.2303175864845874,15
La,9.609754610177406,4.539373751427331,26
Ce,5.937211301187141,4.691834493855343,21
Pr,11.844999999999999,0.0,1
Nd,27.09895833333333,9.627896143350082,4
Sm,-2.6506779736467254,6.590919833918164,12
Gd,-19.18333333333333,0.0,1
Yb,-5.25,15.733125881400682,2
W,5.155256769374416,6.22306437377542,12
Pt,3.833333333333332,0.0,1
Au,8.74,0.0,1
Tl,14.600000000000001,1.8384776310850244,2
Pb,31.869097222222223,7.741286175723618,3
Bi,41.599999999999994,0.0,1
Th,-3.453333333333333,6.9662126380493525,3
U,-19.0,0.0,1
