Source,Property,Property Value,Material,Operating Condition 1,Operating Condition 1 Value
10.1006/jcat.1993.1025,C2(+) yield,10.60%,Sodium chloride promoted zirconium dioxide,reaction operating temperature,750°C
10.1006/jcat.1993.1025,C2(+) yield,17.50%,Sodium-promoted zirconium dioxide with chloride,reaction operating temperature,
10.1006/jcat.1993.1025,C2(+) selectivity,77 mol%,Sodium chloride promoted zirconium dioxide,reaction operating temperature,750°C
10.1006/jcat.1993.1025,CH4 conversion,13.8 mol%,Sodium-promoted zirconium dioxide with chloride,reaction operating temperature,750°C
10.1006/jcat.1993.1025,CH4 conversion,22.00%,Sodium-promoted zirconium dioxide with chloride,reaction operating temperature,
10.1006/jcat.1993.1057,C2(+) yield,4%,Barium Stannate,reaction operating temperature,800°C
10.1006/jcat.1993.1057,C2(+) yield,12-15%,Barium-Lead,reaction operating temperature,800°C
10.1006/jcat.1993.1087,C2(+) yield,20%,Sm2Sn2O7,reaction operating temperature,973 K
10.1006/jcat.1993.1135,C2(+) selectivity,up to 47%,Zirconium dioxide prepared from ammonium hydroxide and potassium hydroxide,reaction operating temperature,775°C
10.1006/jcat.1993.1135,C2(+) selectivity,≈9%,Zirconium dioxide prepared from zirconium tetrachloride by the addition of ammonium hydroxide,reaction operating temperature,775°C
10.1006/jcat.1993.1135,C2(+) selectivity,≈9%,Zirconium dioxide prepared from zirconium oxychloride dihydrate by the addition of ammonium hydroxide,reaction operating temperature,775°C
10.1006/jcat.1993.1135,C2(+) selectivity,≈9%,Zirconium dioxide prepared from zirconium nitrate dihydrate by the addition of ammonium hydroxide,reaction operating temperature,775°C
10.1006/jcat.1993.1135,C2(+) selectivity,8%,Zirconium dioxide (Lithium hydroxide),reaction operating temperature,
10.1006/jcat.1993.1135,C2(+) selectivity,8%,Zirconium dioxide (sodium hydroxide),reaction operating temperature,
10.1006/jcat.1993.1135,CH4 conversion,ca. 10%,Zirconium dioxide prepared from ammonium hydroxide and potassium hydroxide,reaction operating temperature,775°C
10.1006/jcat.1993.1135,CH4 conversion,ca. 10%,ammonia-treated ZrO2,reaction operating temperature,775°C
10.1006/jcat.1993.1169,C2(+) yield,19.80%,Sodium Chloride and Cesium Chloride on Magnesium Oxide,reaction operating temperature,750°C
10.1006/jcat.1993.1169,C2(+) yield,≤5.5%,Monoalkali-promoted system,reaction operating temperature,750°C
10.1006/jcat.1993.1169,CH4 conversion,23.8 mol%,Sodium Chloride and Cesium Chloride on Magnesium Oxide,reaction operating temperature,750°C
10.1006/jcat.1993.1175,C2(+) selectivity,~30%,Magnesium-Lithium Oxide,reaction operating temperature,≤600°C
10.1006/jcat.1993.1175,CH4 conversion,18-22%,Magnesium-Lithium Oxide,reaction operating temperature,≤600°C
10.1006/jcat.1993.1273,C2(+) selectivity,80%,2 mol% Barium/Magnesium Oxide,reaction operating temperature,800°C
10.1006/jcat.1993.1273,CH4 conversion,17%,2 mole percent Barium on Magnesium Oxide,reaction operating temperature,800°C
10.1006/jcat.1993.1334,C2(+) yield,8%,Silver on Zirconium Dioxide (8 mole percent Yttrium Oxide),reaction operating temperature,
10.1006/jcat.1993.1334,C2(+) selectivity,75%,Silver deposited on Zirconium dioxide (8 mole percent Yttrium trioxide),reaction operating temperature,
10.1006/jcat.1994.1050,C2(+) selectivity,70%,Potassium/Calcium/Nickel oxide,reaction operating temperature,<700°C
10.1006/jcat.1994.1141,C2(+) selectivity,60%,Lithium-magnesium oxide,reaction operating temperature,≥625°C
10.1006/jcat.1995.1157,C2(+) selectivity,>70%,9.4 mole percent Sodium Tungstate/Cerium Dioxide,reaction operating temperature,780°C
10.1006/jcat.1995.1157,C2(+) selectivity,<10%,Cerium dioxide,reaction operating temperature,780°C
10.1006/jcat.1995.1157,CH4 conversion,22%,9.4 mole percent Sodium Tungstate/Cerium Dioxide,reaction operating temperature,780°C
10.1006/jcat.1996.0089,C2(+) yield,11.80%,10 mole percent Barium Fluoride/Lanthanum Oxide,reaction operating temperature,750°C
10.1006/jcat.1996.0089,C2(+) selectivity,40.50%,10 mole percent Barium Bromide on Lanthanum Oxide,reaction operating temperature,750°C
10.1006/jcat.1996.0089,CH4 conversion,44.70%,10 mole percent Barium Bromide on Lanthanum Oxide,reaction operating temperature,750°C
10.1006/jcat.1996.0089,CH4 conversion,27.00%,10 mole percent Barium Fluoride/Lanthanum Oxide,reaction operating temperature,750°C
10.1006/jcat.1996.0141,C2(+) yield,27%,Lithium/Magnesium Oxide,reaction operating temperature,1023 K
